hide;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;gsv
;51.2247118608;-0.334100768;open;;Prince of Wales;55 Hampstead Road;;Dorking;Surrey;RH4 3AH ;;https://whatpub.com/img/REI/98/prince-of-wales-dorking/200/150;https://whatpub.com/pubs/REI/98/prince-of-wales-dorking;https://www.google.co.uk/maps/@51.2245965,-0.3339795,3a,55.9y,340.82h,93.35t/data=!3m6!1e1!3m4!1srPWaa31VlOcV324Emd_awg!2e0!7i13312!8i6656
;51.230125;-0.334259;open;;Rialto Lounge & Kitchen;33 South Street;;Dorking;Surrey;RH4 2JZ;;;https://whatpub.com/pubs/REI/496/rialto-lounge-kitchen-dorking;https://www.google.co.uk/maps/@51.2300705,-0.3344011,3a,90y,116.61h,88.67t/data=!3m6!1e1!3m4!1sV0kxnHq1ILYpxe0BS7F4WA!2e0!7i13312!8i6656
;51.233324;-0.331566;open;;Burgundy & Black;12 St Martin's Walk;;Dorking;Surrey;RH4 1UT;;https://whatpub.com/img/REI/462/burgundy-black-dorking/298/224/1;https://whatpub.com/pubs/REI/462/burgundy-black-dorking;https://www.google.co.uk/maps/@51.2333949,-0.3322483,3a,17.3y,97.34h,94.5t/data=!3m6!1e1!3m4!1s0Rxkad0q6nshj1qzUmQbvw!2e0!7i13312!8i6656
;51.231677;-0.335922;open;;Cobbett's;23 West Street;;Dorking;Surrey;RH4 1BY;;https://whatpub.com/img/REI/450/cobbetts-dorking/298/224/1;https://whatpub.com/pubs/REI/450/cobbetts-dorking;https://www.google.co.uk/maps/@51.2317714,-0.3360084,3a,56.2y,150.5h,90.39t/data=!3m7!1e1!3m5!1s4Etz_57UO8T_6k6gPAYhDA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3D4Etz_57UO8T_6k6gPAYhDA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D222.65979%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
;51.229679;-0.334562;limbo;;South Street Wine Bar;43 South Street;;Dorking;Surrey;RH4 2JX;;https://whatpub.com/img/REI/422/south-street-wine-bar-dorking/298/224/1000001;https://whatpub.com/pubs/REI/422/south-street-wine-bar-dorking;https://www.google.co.uk/maps/@51.2296551,-0.3346023,3a,42.6y,55.64h,92.42t/data=!3m6!1e1!3m4!1sKe38y0DGf8WrPb89jgQ5Uw!2e0!7i13312!8i6656
;51.22941;-0.334572;limbo;;Genghis;53-55 South Street;;Dorking;Surrey;RH4 2JX;Ceylon Tavern;https://whatpub.com/img/REI/415/genghis-dorking/298/224/1;https://whatpub.com/pubs/REI/415/genghis-dorking;https://www.google.co.uk/maps/@51.2294581,-0.3345987,3a,75y,63.14h,87.02t/data=!3m6!1e1!3m4!1scU7cpp99KH3vz1tGt4zExw!2e0!7i13312!8i6656
;51.228689;-0.334455;open;;Little Dudley House;77 South Street;;Dorking;Surrey;RH4 2EU;;https://whatpub.com/img/REI/447/little-dudley-house-dorking/298/224/1;https://whatpub.com/pubs/REI/447/little-dudley-house-dorking;https://www.google.co.uk/maps/@51.2287197,-0.3345946,3a,75y,78.28h,91.31t/data=!3m6!1e1!3m4!1s52eKWoe9UzVM93LEnshZ8Q!2e0!7i13312!8i6656
;51.233812;-0.327967;dead;;Office;272 High Street;;Dorking;Surrey;RH4 1QT;Applejacks|Arthur's|R4s ;https://whatpub.com/img/REI/95/office-dorking/298/224/1;https://whatpub.com/pubs/REI/95/office-dorking;https://www.google.co.uk/maps/@51.2338397,-0.3281251,3a,50.6y,111.39h,86.46t/data=!3m6!1e1!3m4!1s7546TVuENllLjRP_ITEycg!2e0!7i13312!8i6656
;51.234588;-0.325647;open;;Dorking Halls;Reigate Road;;Dorking;Surrey;RH4 1SG;;https://whatpub.com/img/REI/88/dorking-halls-dorking/298/224/1;https://whatpub.com/pubs/REI/88/dorking-halls-dorking;https://www.google.co.uk/maps/@51.2349116,-0.3258417,3a,54.7y,144.95h,90.1t/data=!3m6!1e1!3m4!1s6VrvNHJegBKALWkEpBFi8Q!2e0!7i13312!8i6656
;51.236059;-0.340491;open;;Dorking Brewery;Engine Shed, Dorking West Station Yard, Station Rd;;Dorking;Surrey;RH4 1HF;;https://whatpub.com/img/REI/429/dorking-brewery-dorking/298/224/1;https://whatpub.com/pubs/REI/429/dorking-brewery-dorking;https://www.google.co.uk/maps/@51.2359875,-0.3396438,3a,15y,280.22h,90.09t/data=!3m6!1e1!3m4!1smvRgzHHNGUUaQDQ1iCTdMw!2e0!7i13312!8i6656
;;;;;;;;;;;;;;
;51.2257062594;-0.3637397303;open;;Prince of Wales;Guildford Road;Westcott;Dorking;Surrey;RH4 3QE;;https://whatpub.com/img/REI/386/prince-of-wales-westcott/200/150;https://whatpub.com/pubs/REI/386/prince-of-wales-westcott;https://www.google.co.uk/maps/@51.2255701,-0.3635301,3a,52.1y,321.75h,90.23t/data=!3m6!1e1!3m4!1s3INvJKLcvsyOWZcJBmz6Ig!2e0!7i13312!8i6656
;51.2245346228;-0.368099661;dead;2007;Cricketers;7 Guildford Road;Westcott;Dorking;Surrey;RH4 3NW;;https://whatpub.com/img/REI/384/cricketers-westcott/298/224/1;http://www.closedpubs.co.uk/surrey/westcott_cricketers.html|https://whatpub.com/pubs/REI/384/cricketers-westcott;https://www.google.co.uk/maps/@51.2246099,-0.3683017,3a,48.9y,90.08h,88.32t/data=!3m6!1e1!3m4!1sl5zPfgqWNVkXpZ0hDvb3qQ!2e0!7i13312!8i6656
;51.2255441638;-0.3627714528;dead;2011;Crown ;Guildford Road;Westcott;Dorking;Surrey;RH4 3QG ;;https://whatpub.com/img/REI/385/bertram-bees-westcott/298/224/1;https://whatpub.com/pubs/REI/385/bertram-bees-westcott;https://www.google.co.uk/maps/@51.2256148,-0.3630267,3a,49.5y,106.26h,95.29t/data=!3m6!1e1!3m4!1sleKpX1zqnYNmL-1iS66wtw!2e0!7i13312!8i6656
;;;bone;;Bricklayer’s Arms ;Westcott Street ;Westcott;Dorking;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/westcott_bricklayersarms.jpg;http://www.closedpubs.co.uk/surrey/westcott_bricklayersarms.html;
;;;bone;;Cabin ;St John’s Road ;Westcott;Dorking;Surrey;;;;http://www.closedpubs.co.uk/surrey/westcott_cabin.html;
;;;bone;;Uncle Tom’s Cabin ;Westcott Street ;Westcott;Dorking;Surrey;;;;http://www.closedpubs.co.uk/surrey/westcott_uncletomscabin.html;
;;;;;;;;;;;;;;
